iter	Passed	Remaining
412	3477	3258
413	3485	3250
414	3494	3241
415	3502	3232
416	3510	3223
417	3517	3214
418	3524	3205
419	3533	3197
420	3540	3187
421	3548	3178
422	3556	3169
423	3565	3161
424	3572	3152
425	3580	3143
426	3588	3134
427	3597	3126
428	3604	3117
429	3612	3108
430	3619	3099
431	3628	3090
432	3635	3081
433	3643	3072
434	3650	3062
435	3657	3053
436	3664	3044
437	3671	3034
438	3679	3025
439	3686	3016
440	3694	3007
441	3701	2997
442	3709	2989
443	3716	2979
444	3723	2970
445	3730	2960
446	3737	2951
447	3745	2942
448	3752	2933
449	3760	2924
450	3767	2915
451	3775	2906
452	3781	2896
453	3789	2887
454	3795	2878
455	3802	2868
456	3810	2859
457	3817	2850
458	3825	2842
459	3833	2833
460	3843	2826
461	3849	2816
462	3858	2808
463	3865	2799
464	3873	2790
465	3880	2781
466	3889	2773
467	3896	2764
468	3905	2756
469	3912	2746
470	3919	2737
471	3926	2728
472	3933	2719
473	3941	2710
474	3947	2701
475	3957	2693
476	3964	2684
477	3973	2676
478	3980	2667
479	3989	2659
480	3996	2650
481	4004	2642
482	4011	2632
483	4019	2624
484	4026	2615
485	4035	2607
486	4043	2598
487	4051	2590
488	4059	2581
489	4067	2573
490	4073	2563
491	4081	2554
492	4088	2545
493	4095	2536
494	4103	2528
495	4109	2518
496	4117	2510
497	4123	2500
498	4132	2492
499	4139	2483
500	4147	2475
501	4154	2465
502	4161	2456
503	4168	2447
504	4175	2438
505	4182	2430
506	4189	2421
507	4197	2412
508	4204	2403
509	4212	2395
510	4218	2385
511	4225	2376
512	4233	2368
513	4239	2359
514	4247	2350
515	4254	2341
516	4262	2333
517	4268	2323
518	4276	2315
519	4283	2306
520	4290	2297
521	4298	2289
522	4304	2279
523	4312	2271
524	4318	2262
525	4326	2253
526	4333	2244
527	4340	2236
528	4348	2227
529	4354	2218
530	4362	2209
531	4369	2201
532	4376	2192
533	4383	2183
534	4391	2175
535	4398	2166
536	4405	2157
537	4413	2149
538	4420	2140
539	4429	2132
540	4436	2123
541	4445	2116
542	4452	2107
543	4461	2099
544	4468	2090
545	4477	2082
546	4486	2075
547	4496	2067
548	4503	2059
549	4512	2051
550	4520	2042
551	4529	2034
552	4536	2026
553	4544	2017
554	4551	2009
555	4559	2001
556	4567	1992
557	4576	1984
558	4583	1976
559	4593	1968
560	4600	1960
561	4608	1951
562	4615	1943
563	4624	1934
564	4630	1926
565	4638	1917
566	4645	1909
567	4653	1900
568	4661	1892
569	4669	1884
570	4676	1875
571	4684	1867
572	4691	1858
573	4697	1849
574	4705	1841
575	4712	1832
576	4722	1825
577	4729	1816
578	4737	1808
579	4744	1799
580	4752	1791
581	4758	1782
582	4766	1774
583	4773	1765
584	4781	1757
585	4788	1748
586	4795	1740
587	4802	1731
588	4809	1722
589	4817	1714
590	4824	1706
591	4831	1697
592	4838	1689
593	4846	1680
594	4853	1672
595	4859	1663
596	4868	1655
597	4875	1646
598	4883	1638
599	4890	1630
600	4899	1622
601	4905	1613
602	4913	1605
603	4919	1596
604	4927	1588
605	4935	1579
606	4942	1571
607	4950	1563
608	4957	1554
609	4966	1546
610	4974	1538
611	4982	1530
612	4989	1521
613	4996	1513
614	5004	1505
615	5012	1497
616	5020	1488
