iter	RMSE
196	904.3243363
197	903.3661275
198	902.6996233
199	901.0457468
200	900.4006939
201	899.1878276
202	897.8529788
203	896.2261756
204	894.2788358
205	892.6789388
206	890.6659427
207	889.405055
208	888.6556687
209	887.5514655
210	886.0755734
211	884.1337429
212	882.8954513
213	881.1683622
214	879.9163395
215	879.0193121
216	877.632699
217	876.900608
218	875.9748037
219	874.9984251
220	873.6841966
221	872.5683599
222	870.7690649
223	869.0273619
224	868.0414596
225	866.5985201
226	865.5828127
227	864.9286824
228	863.8641125
229	862.5018484
230	861.5956966
231	860.1084265
232	858.2776793
233	856.8964617
234	856.3162524
235	854.7337081
236	853.2146786
237	852.2825968
238	851.5251724
239	849.5819357
240	848.22605
241	847.7258553
242	846.4067937
243	845.1759346
244	843.4425311
245	842.4248532
246	841.4501888
247	840.8441534
248	839.3427103
249	838.397182
250	837.311596
251	836.6821066
252	835.3780315
253	834.9758033
254	833.9199456
255	832.1930733
256	830.6100283
257	830.1423189
258	829.0965307
259	828.0941108
260	826.7074361
261	825.447852
262	824.0615655
263	822.5269104
264	820.868685
265	819.6764362
266	818.469445
267	817.1236678
268	815.7292869
269	814.7125135
270	814.1864784
271	812.9118431
272	811.9391084
273	811.2800728
274	810.3277112
275	809.4212026
276	808.3515734
277	807.3378329
278	806.357296
279	804.8149818
280	804.1774093
281	802.8369404
282	801.8736633
283	801.0764866
284	799.9737969
285	798.6409126
286	797.9628424
287	797.0676925
288	795.9837879
289	794.9030189
290	793.6903008
291	792.6623429
292	792.0750425
293	790.8998307
294	790.5245558
295	789.8095666
296	789.0072884
297	788.1316726
298	787.5375688
299	786.8229323
300	785.7518579
301	784.9748044
302	783.7715435
303	782.7257623
304	781.9966042
305	781.0340421
306	780.1641345
307	779.3927204
308	778.9717686
309	778.3275743
310	777.7908955
311	777.2446444
312	776.5142183
313	775.6333167
314	774.3836401
315	773.3146329
316	772.4885378
317	772.0050934
318	771.2515473
319	769.9052444
320	769.1966561
321	768.5173348
322	767.4045917
323	766.5540493
324	766.1949401
325	765.4081968
326	764.5101658
327	763.3218374
328	762.4989279
329	761.9498221
330	761.2557684
331	760.6424016
332	760.2484126
333	759.3174424
334	758.4920976
335	757.5858154
336	757.0404591
337	756.3345616
338	755.509014
339	754.5282832
340	753.6389603
341	752.9161655
342	752.2607693
343	751.2083359
344	750.6541881
345	749.9969971
346	748.9252164
347	748.1474494
348	747.4068274
349	746.71118
350	745.6612363
351	744.9080414
352	744.5396103
353	743.7647287
354	742.8590393
355	741.8985866
356	741.1752214
357	740.283202
358	739.5542281
359	738.6186556
360	737.4009385
361	737.0834109
362	736.5429319
363	735.5229356
364	734.6832315
365	733.9765038
366	733.001726
367	732.4447662
368	731.7410169
369	730.9298108
370	729.9145882
371	729.0716546
372	728.0300141
373	727.3585054
374	726.6758775
375	726.0532341
376	725.3994594
377	724.7000213
378	724.442901
379	723.9967632
380	723.2127384
381	722.7531819
382	722.2620722
383	721.5004728
384	720.9744697
385	720.4757004
386	720.0071469
387	719.6496373
388	719.3049618
389	718.7884411
390	717.8578924
391	717.3185745
392	716.9542155
393	716.6568265
394	716.1425491
395	715.2798379
396	714.4905252
397	713.7148715
398	713.2010576
399	712.7030501
400	712.0525942
401	711.7406148
402	710.9075676
403	710.543314
404	709.7547189
405	709.1369422
406	708.7055289
407	708.1041723
408	707.0594636
409	706.6334447
410	705.5663961
411	705.2225469
412	704.4823601
413	703.6753818
414	703.0379078
415	702.601443
416	701.909906
417	701.3713747
418	700.6908828
419	699.6201048
420	699.3648503
421	699.0351426
422	698.3747761
423	697.3820402
424	696.7768115
425	696.0955255
426	695.1592215
427	694.3882508
428	693.8763934
429	693.4075965
430	692.5860508
431	691.6345317
432	691.0854691
433	690.6622197
434	690.337534
435	689.27812
436	688.8229039
437	688.5514198
438	687.8406875
439	687.2108091
440	686.6457985
441	685.9909621
442	685.2534048
443	684.203912
444	683.8174078
445	683.108619
446	682.4975904
447	681.4382069
448	681.0087688
449	680.3330285
450	679.7842763
451	679.3629174
452	678.8345644
453	678.3360152
454	677.9614441
455	677.3964119
456	676.8667044
457	676.3626612
458	675.7390251
459	675.353546
460	674.7693036
461	674.5511534
462	673.9634805
463	673.3152071
464	672.9378639
465	672.604034
466	671.9976477
467	671.1411017
468	670.450141
469	669.5187583
470	668.9297737
471	668.3247709
472	667.7498387
473	667.1281651
474	666.6401239
475	666.1775414
476	665.8968525
477	665.6115435
478	664.9737458
479	664.5547178
480	664.2871736
481	663.7759171
482	663.3688929
483	663.0595661
484	662.1182041
485	661.8902274
486	661.1918039
487	660.6256287
488	659.7567034
489	659.0273958
490	658.7283047
491	657.9969727
492	657.7371373
493	656.9418855
494	656.3003245
495	655.7952466
496	655.2849827
497	654.984387
498	654.4735569
499	653.9367894
500	653.6020751
501	652.9491552
502	652.5913434
503	651.9045108
504	651.3938118
505	650.9558241
506	650.4438541
507	649.7981013
508	649.0627263
509	648.5022833
510	648.1792054
511	647.9437485
512	647.4478276
513	646.8703423
514	646.3504481
515	645.8070405
516	645.458028
517	644.9284345
518	644.3831655
519	643.9266965
520	643.1095316
521	642.3613707
522	641.9367667
523	641.6686395
524	641.2358163
525	640.5705078
526	640.0941665
527	639.7175543
528	639.0499009
529	638.8409223
530	638.3936281
531	637.7345016
532	637.4117393
533	637.0214125
534	636.568753
535	636.1183896
536	635.7287582
537	635.1615459
538	634.8376249
539	634.3115231
540	634.0809352
541	633.786438
542	633.3076146
543	632.6642881
544	632.206064
545	631.7581216
546	631.483727
547	631.0560719
548	630.8439604
549	630.5033125
550	630.1861608
551	629.8394473
552	629.634272
553	629.2963311
554	628.8396009
555	628.4280045
556	628.0978132
557	627.6612036
558	627.0233553
559	626.3609031
560	625.7469631
561	625.3170754
562	624.5156636
563	624.0980512
564	623.6510982
565	623.3184502
566	622.6433192
567	622.2961304
568	622.1558195
569	621.5714633
570	621.2694483
571	620.9292508
572	620.5165286
573	620.3204842
574	619.6766273
575	619.304407
576	618.6975247
577	618.009904
578	617.2766447
579	616.9991018
580	616.6823656
581	616.3182208
582	615.8553017
583	615.636592
584	615.0718904
585	614.4401371
586	614.1638942
587	614.0216101
588	613.6006333
589	613.3115006
590	612.3743074
591	611.9051456
592	611.2570402
593	610.6560218
594	610.3763635
595	610.0950666
596	609.6066429
597	609.3038401
598	608.9774405
599	608.6334496
600	608.0917997
601	607.7414791
602	607.3325988
603	606.9860404
604	606.5963096
605	606.4617976
606	606.2163077
607	605.5333898
608	604.9698277
609	604.3379011
610	603.8471516
611	603.4618356
612	603.1939466
613	602.9419208
614	602.3311353
615	602.0805844
616	601.5759415
617	601.1445776
618	600.3622843
619	599.7516343
620	599.2697602
621	598.7645675
622	598.4995034
623	597.9217467
624	597.5384322
625	596.9945981
626	596.6692949
627	596.4572612
628	595.6667691
629	595.2458462
630	594.9783152
631	594.6768358
632	594.4169147
633	594.1839537
634	593.7349916
635	593.2991981
636	592.9042328
637	592.5856093
638	592.1818438
639	591.5458123
640	591.2809307
641	590.8908436
642	590.6044613
643	590.1901614
644	589.4970772
645	589.2596989
646	588.7607692
647	588.5964083
648	588.2862306
649	587.8009685
650	587.1293127
651	586.7782288
652	586.2521175
653	586.0917692
654	585.5844712
655	585.3577578
656	584.8875588
657	584.2561521
658	583.6191903
659	583.3061947
660	582.9378524
661	582.6601243
662	582.3919761
663	581.9466817
664	581.6747995
665	581.3047779
666	580.7798415
667	580.3985145
668	579.7422665
669	579.3548929
670	579.0328124
671	578.6509069
672	578.3007444
673	577.8904774
674	577.2475258
675	576.7549384
676	576.2594786
677	575.8006434
678	575.3808117
679	575.2573243
680	575.1000403
681	574.676282
682	574.3326474
683	573.7493152
684	573.3837077
685	573.1599923
686	572.580493
687	572.291273
688	571.9035173
689	571.6880902
690	571.3444389
691	570.8130566
692	570.4481175
693	570.1956624
694	569.7614283
695	569.3491213
696	568.8448096
697	568.5931367
698	568.0217461
699	567.4619318
700	567.1197982
701	566.7450972
702	566.3772373
703	566.02631
704	565.5223271
705	565.1432717
706	564.8553313
707	564.5874404
708	564.3142448
709	563.9959894
710	563.7403634
711	563.286591
712	563.0238728
713	562.6559546
714	562.2047449
715	561.8025702
716	561.4658895
717	561.037995
718	560.7551036
719	560.4963943
720	560.341734
721	559.81309
722	559.465957
723	558.9706225
724	558.4883367
725	557.8535058
726	557.330659
727	556.6872858
728	556.2094479
729	555.8544377
730	555.2569137
731	555.0533441
732	554.678389
733	554.2734894
734	553.8334796
735	553.2617655
736	552.999591
737	552.7107645
738	552.2693197
739	551.9631179
740	551.7358409
741	551.36873
742	550.9618277
743	550.6804516
744	550.4689341
745	550.2090152
746	549.8579618
747	549.569484
748	549.2024255
749	548.7750097
750	548.166877
751	547.8478374
752	547.5207682
753	547.0950801
754	546.9071134
755	546.7719538
756	546.4406326
757	546.1850977
758	545.810483
759	545.5417359
760	545.2900996
761	544.6275028
762	544.5032646
763	544.2194878
764	543.6523014
765	543.1986796
766	542.8701409
767	542.6374175
768	542.3552453
769	542.0259484
770	541.9082996
771	541.5780901
772	541.3836152
773	540.8480318
774	540.3481642
775	539.9367068
776	539.7306239
777	539.3094287
778	539.0767383
779	538.6391607
780	538.1814806
781	538.0051921
782	537.482307
783	537.2368249
784	536.9708317
785	536.6173247
786	536.2500338
787	535.9291193
788	535.6537108
789	535.5010308
790	535.3339693
791	535.0725008
792	534.586771
793	534.3194967
794	534.1074409
795	533.9215628
796	533.64536
797	533.05083
798	532.7621618
799	532.4454805
