temperature,hour,day,month,day_of_week,is_weekend,load_lag_1,load_lag_2,load_lag_3,load_lag_24,load_lag_48,load_lag_168,temp_lag_1,temp_lag_24,rolling_mean_3,rolling_mean_6,rolling_mean_24,rolling_std_24,hour_sin,hour_cos,dow_sin,dow_cos
27,18,8,1,3,0,50635.0,58857.0,61966.0,47610.0,48568.0,50328.0,28.0,28.0,52403.333333333336,57169.66666666666,44075.91666666666,14719.839229736015,-1.0,-1.8369701987210292e-16,0.4338837391175582,-0.900968867902419
26,19,8,1,3,0,47718.0,50635.0,58857.0,50482.0,50603.0,52425.0,27.0,27.0,49093.333333333336,55038.5,44011.125,14693.815165372484,-0.9659258262890684,0.2588190451025203,0.4338837391175582,-0.900968867902419
26,20,8,1,3,0,48927.0,47718.0,50635.0,48815.0,48838.0,50457.0,26.0,26.0,48040.333333333336,52596.5,43955.333333333336,14677.314843475042,-0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419
25,21,8,1,3,0,47476.0,48927.0,47718.0,39911.0,39657.0,41577.0,26.0,26.0,45366.0,48884.66666666666,43946.333333333336,14679.968601632892,-0.7071067811865477,0.7071067811865474,0.4338837391175582,-0.900968867902419
25,22,8,1,3,0,39695.0,47476.0,48927.0,33469.0,34123.0,36002.0,25.0,25.0,40093.0,44593.16666666666,43931.29166666666,14691.351379162315,-0.5000000000000004,0.8660254037844384,0.4338837391175582,-0.900968867902419
25,23,8,1,3,0,33108.0,39695.0,47476.0,31038.0,30656.0,33522.0,25.0,25.0,34353.666666666664,41197.0,43898.79166666666,14721.94473796698,-0.2588190451025215,0.965925826289068,0.4338837391175582,-0.900968867902419
25,0,9,1,4,0,30258.0,33108.0,39695.0,28365.0,28467.0,30625.0,25.0,25.0,30463.0,37914.5,43884.54166666666,14737.791280387824,0.0,1.0,-0.433883739117558,-0.9009688679024191
25,1,9,1,4,0,28023.0,30258.0,33108.0,26895.0,27413.0,29060.0,25.0,25.0,28286.33333333333,34189.666666666664,43871.333333333336,14753.813041900808,0.2588190451025207,0.9659258262890684,-0.433883739117558,-0.9009688679024191
24,2,9,1,4,0,26578.0,28023.0,30258.0,25906.0,26278.0,27586.0,25.0,24.0,26753.0,30553.33333333333,43861.0,14767.023676451176,0.4999999999999999,0.8660254037844387,-0.433883739117558,-0.9009688679024191
24,3,9,1,4,0,25658.0,26578.0,28023.0,25066.0,25308.0,26846.0,24.0,24.0,25760.0,28111.5,43860.083333333336,14768.24173961512,0.7071067811865476,0.7071067811865476,-0.433883739117558,-0.9009688679024191
24,4,9,1,4,0,25044.0,25658.0,26578.0,24908.0,25491.0,26561.0,24.0,24.0,25262.666666666668,26774.5,43867.5,14758.351498609924,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
24,5,9,1,4,0,25086.0,25044.0,25658.0,25798.0,26134.0,26626.0,24.0,24.0,25370.666666666668,26061.83333333333,43875.16666666666,14748.60120903635,0.9659258262890684,0.2588190451025207,-0.433883739117558,-0.9009688679024191
24,6,9,1,4,0,25982.0,25086.0,25044.0,28553.0,29348.0,29623.0,24.0,23.0,26626.33333333333,26193.166666666668,43885.91666666666,14737.03707143765,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191
24,7,9,1,4,0,28811.0,25982.0,25086.0,36103.0,36634.0,36612.0,24.0,23.0,30197.33333333333,27730.0,43873.25,14744.146364633634,0.9659258262890684,-0.2588190451025206,-0.433883739117558,-0.9009688679024191
24,8,9,1,4,0,35799.0,28811.0,25982.0,46230.0,46279.0,48735.0,24.0,24.0,36914.66666666666,31142.666666666668,43869.25,14743.492201056328,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191
25,9,9,1,4,0,46134.0,35799.0,28811.0,56703.0,57095.0,57640.0,24.0,26.0,46339.333333333336,36482.833333333336,43885.16666666666,14758.14846601455,0.7071067811865476,-0.7071067811865475,-0.433883739117558,-0.9009688679024191
27,10,9,1,4,0,57085.0,46134.0,35799.0,61633.0,62266.0,62674.0,25.0,27.0,54983.66666666666,42590.5,43889.29166666666,14763.337705802838,0.4999999999999999,-0.8660254037844387,-0.433883739117558,-0.9009688679024191
28,11,9,1,4,0,61732.0,57085.0,46134.0,62766.0,63545.0,64199.0,27.0,27.0,60520.66666666666,48717.66666666666,43888.41666666666,14762.170845770288,0.258819045102521,-0.9659258262890682,-0.433883739117558,-0.9009688679024191
30,12,9,1,4,0,62745.0,61732.0,57085.0,62163.0,63280.0,63426.0,28.0,30.0,61892.66666666666,54116.0,43848.333333333336,14711.61240731921,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191
29,13,9,1,4,0,61201.0,62745.0,61732.0,61714.0,62925.0,62501.0,30.0,31.0,61313.0,58148.333333333336,43776.625,14624.681665246007,-0.2588190451025208,-0.9659258262890684,-0.433883739117558,-0.9009688679024191
29,14,9,1,4,0,59993.0,61201.0,62745.0,62128.0,63753.0,63652.0,29.0,30.0,60860.0,60690.333333333336,43745.708333333336,14584.930282521567,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191
31,15,9,1,4,0,61386.0,59993.0,61201.0,61966.0,63749.0,63210.0,29.0,30.0,61024.66666666666,61458.66666666666,43734.41666666666,14570.308378810085,-0.7071067811865471,-0.7071067811865479,-0.433883739117558,-0.9009688679024191
29,16,9,1,4,0,61695.0,61386.0,59993.0,58857.0,59773.0,62199.0,31.0,29.0,60796.0,61054.5,43753.16666666666,14590.890206375105,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191
28,17,9,1,4,0,59307.0,61695.0,61386.0,50635.0,50793.0,54278.0,29.0,28.0,57239.0,59049.5,43756.5,14592.539782517228,-0.9659258262890684,-0.2588190451025206,-0.433883739117558,-0.9009688679024191
27,18,9,1,4,0,50715.0,59307.0,61695.0,47718.0,47610.0,50700.0,28.0,27.0,52727.66666666666,56876.16666666666,43774.958333333336,14598.04775357239,-1.0,-1.8369701987210292e-16,-0.433883739117558,-0.9009688679024191
27,19,9,1,4,0,48161.0,50715.0,59307.0,48927.0,50482.0,52979.0,27.0,26.0,49898.0,55347.0,43853.75,14632.127941919309,-0.9659258262890684,0.2588190451025203,-0.433883739117558,-0.9009688679024191
26,20,9,1,4,0,50818.0,48161.0,50715.0,47476.0,48815.0,50947.0,27.0,26.0,49337.333333333336,53288.16666666666,43918.625,14652.324035315,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
25,21,9,1,4,0,49033.0,50818.0,48161.0,39695.0,39911.0,41600.0,26.0,25.0,46576.66666666666,49652.16666666666,43926.29166666666,14650.06594874359,-0.7071067811865477,0.7071067811865474,-0.433883739117558,-0.9009688679024191
25,22,9,1,4,0,39879.0,49033.0,50818.0,33108.0,33469.0,35936.0,25.0,25.0,41007.66666666666,45452.833333333336,43968.083333333336,14619.261478155004,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191
25,23,9,1,4,0,34111.0,39879.0,49033.0,30258.0,31038.0,32087.0,25.0,25.0,34707.333333333336,42022.333333333336,43962.833333333336,14624.420757512202,-0.2588190451025215,0.965925826289068,-0.433883739117558,-0.9009688679024191
24,0,10,1,5,1,30132.0,34111.0,39879.0,28023.0,28365.0,29645.0,25.0,25.0,30438.0,38507.333333333336,43923.16666666666,14670.752746363349,0.0,1.0,-0.9749279121818236,-0.2225209339563146
24,1,10,1,5,1,27071.0,30132.0,34111.0,26578.0,26895.0,28288.0,24.0,25.0,27547.666666666668,34277.666666666664,43875.75,14730.96614869212,0.2588190451025207,0.9659258262890684,-0.9749279121818236,-0.2225209339563146
24,2,10,1,5,1,25440.0,27071.0,30132.0,25658.0,25906.0,26990.0,24.0,24.0,26093.33333333333,30400.33333333333,43880.375,14725.01396120251,0.4999999999999999,0.8660254037844387,-0.9749279121818236,-0.2225209339563146
23,3,10,1,5,1,25769.0,25440.0,27071.0,25044.0,25066.0,26284.0,24.0,24.0,25354.0,27896.0,43872.41666666666,14735.684708178333,0.7071067811865476,0.7071067811865476,-0.9749279121818236,-0.2225209339563146
23,4,10,1,5,1,24853.0,25769.0,25440.0,25086.0,24908.0,26047.0,23.0,24.0,25102.0,26324.83333333333,43855.66666666666,14758.178922260342,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146
23,5,10,1,5,1,24684.0,24853.0,25769.0,25982.0,25798.0,25965.0,23.0,24.0,24943.0,25518.166666666668,43826.91666666666,14795.137802719157,0.9659258262890684,0.2588190451025207,-0.9749279121818236,-0.2225209339563146
23,6,10,1,5,1,25292.0,24684.0,24853.0,28811.0,28553.0,27347.0,23.0,24.0,25607.0,25480.5,43745.0,14887.048722032654,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146
23,7,10,1,5,1,26845.0,25292.0,24684.0,35799.0,36103.0,29320.0,23.0,24.0,26887.666666666668,25994.83333333333,43441.958333333336,15127.90694301262,0.9659258262890684,-0.2588190451025206,-0.9749279121818236,-0.2225209339563146
23,8,10,1,5,1,28526.0,26845.0,25292.0,46134.0,46230.0,33989.0,23.0,24.0,29564.666666666668,27253.83333333333,42908.16666666666,15254.279370112816,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146
24,9,10,1,5,1,33323.0,28526.0,26845.0,57085.0,56703.0,44474.0,23.0,25.0,35380.0,30493.5,42375.083333333336,14957.983553699803,0.7071067811865476,-0.7071067811865475,-0.9749279121818236,-0.2225209339563146
26,10,10,1,5,1,44291.0,33323.0,28526.0,61732.0,61633.0,51617.0,24.0,27.0,42424.333333333336,34656.0,41872.04166666666,14473.8763969681,0.4999999999999999,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146
28,11,10,1,5,1,49659.0,44291.0,33323.0,62745.0,62766.0,52517.0,26.0,28.0,48121.66666666666,38843.16666666666,41358.29166666666,13908.565491871072,0.258819045102521,-0.9659258262890682,-0.9749279121818236,-0.2225209339563146
29,12,10,1,5,1,50415.0,49659.0,44291.0,61201.0,62163.0,50691.0,28.0,30.0,50084.0,42732.0,40899.0,13397.436276489949,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146
30,13,10,1,5,1,50178.0,50415.0,49659.0,59993.0,61714.0,47800.0,29.0,29.0,49262.0,45843.16666666666,40365.66666666666,12847.782426370804,-0.2588190451025208,-0.9659258262890684,-0.9749279121818236,-0.2225209339563146
29,14,10,1,5,1,47193.0,50178.0,50415.0,61386.0,62128.0,47629.0,30.0,29.0,47949.0,48035.333333333336,39744.41666666666,12127.44951112672,-0.4999999999999997,-0.8660254037844388,-0.9749279121818236,-0.2225209339563146
28,15,10,1,5,1,46476.0,47193.0,50178.0,61695.0,61966.0,46962.0,29.0,31.0,46370.66666666666,48227.333333333336,39067.25,11272.06273029264,-0.7071067811865471,-0.7071067811865479,-0.9749279121818236,-0.2225209339563146
28,16,10,1,5,1,45443.0,46476.0,47193.0,59307.0,58857.0,46680.0,28.0,29.0,45557.66666666666,47409.833333333336,38460.875,10501.000425684097,-0.8660254037844385,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146
28,17,10,1,5,1,44754.0,45443.0,46476.0,50715.0,50635.0,45825.0,28.0,28.0,44880.0,46414.5,38199.54166666666,10258.011473452978,-0.9659258262890684,-0.2588190451025206,-0.9749279121818236,-0.2225209339563146
27,18,10,1,5,1,44443.0,44754.0,45443.0,48161.0,47718.0,46635.0,28.0,27.0,44863.333333333336,45617.0,38084.208333333336,10156.198223056434,-1.0,-1.8369701987210292e-16,-0.9749279121818236,-0.2225209339563146
26,19,10,1,5,1,45393.0,44443.0,44754.0,50818.0,48927.0,50761.0,27.0,27.0,46253.66666666666,45905.66666666666,38005.333333333336,10059.899596122128,-0.9659258262890684,0.2588190451025203,-0.9749279121818236,-0.2225209339563146
