time,temperature,load,hour,day,month,day_of_week,is_weekend,load_lag_1,load_lag_2,load_lag_3,load_lag_24,load_lag_48,load_lag_168,temp_lag_1,temp_lag_24,rolling_mean_3,rolling_mean_6,rolling_mean_24,rolling_std_24,hour_sin,hour_cos,dow_sin,dow_cos
2009-01-01 01:00:00,24,30360,1,1,1,3,0,,,,,,,,,,,,,0.25881904510252074,0.9659258262890683,0.43388373911755823,-0.900968867902419
2009-01-01 02:00:00,24,29155,2,1,1,3,0,30360.0,,,,,,24.0,,,,,,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419
2009-01-01 03:00:00,24,28086,3,1,1,3,0,29155.0,30360.0,,,,,24.0,,29200.33333333333,,,,0.7071067811865476,0.7071067811865476,0.43388373911755823,-0.900968867902419
2009-01-01 04:00:00,24,28031,4,1,1,3,0,28086.0,29155.0,30360.0,,,,24.0,,28424.0,,,,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419
2009-01-01 05:00:00,24,27730,5,1,1,3,0,28031.0,28086.0,29155.0,,,,24.0,,27949.0,,,,0.9659258262890683,0.25881904510252074,0.43388373911755823,-0.900968867902419
2009-01-01 06:00:00,24,30490,6,1,1,3,0,27730.0,28031.0,28086.0,,,,24.0,,28750.33333333333,28975.33333333333,,,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419
2009-01-01 07:00:00,24,37081,7,1,1,3,0,30490.0,27730.0,28031.0,,,,24.0,,31767.0,30095.5,,,0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419
2009-01-01 08:00:00,24,46975,8,1,1,3,0,37081.0,30490.0,27730.0,,,,24.0,,38182.0,33065.5,,,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419
2009-01-01 09:00:00,25,57261,9,1,1,3,0,46975.0,37081.0,30490.0,,,,24.0,,47105.66666666666,37928.0,,,0.7071067811865476,-0.7071067811865475,0.43388373911755823,-0.900968867902419
2009-01-01 10:00:00,28,63679,10,1,1,3,0,57261.0,46975.0,37081.0,,,,25.0,,55971.66666666666,43869.333333333336,,,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419
2009-01-01 11:00:00,30,65123,11,1,1,3,0,63679.0,57261.0,46975.0,,,,28.0,,62021.0,50101.5,,,0.258819045102521,-0.9659258262890682,0.43388373911755823,-0.900968867902419
2009-01-01 12:00:00,30,65142,12,1,1,3,0,65123.0,63679.0,57261.0,,,,30.0,,64648.0,55876.833333333336,,,1.2246467991473532e-16,-1.0,0.43388373911755823,-0.900968867902419
2009-01-01 13:00:00,30,64745,13,1,1,3,0,65142.0,65123.0,63679.0,,,,30.0,,65003.333333333336,60487.5,,,-0.2588190451025208,-0.9659258262890683,0.43388373911755823,-0.900968867902419
2009-01-01 14:00:00,28,64783,14,1,1,3,0,64745.0,65142.0,65123.0,,,,30.0,,64890.0,63455.5,,,-0.4999999999999997,-0.8660254037844388,0.43388373911755823,-0.900968867902419
2009-01-01 15:00:00,29,64607,15,1,1,3,0,64783.0,64745.0,65142.0,,,,28.0,,64711.66666666666,64679.833333333336,,,-0.7071067811865471,-0.7071067811865479,0.43388373911755823,-0.900968867902419
2009-01-01 16:00:00,29,61089,16,1,1,3,0,64607.0,64783.0,64745.0,,,,29.0,,63493.0,64248.16666666666,,,-0.8660254037844385,-0.5000000000000004,0.43388373911755823,-0.900968867902419
2009-01-01 17:00:00,29,52406,17,1,1,3,0,61089.0,64607.0,64783.0,,,,29.0,,59367.333333333336,62128.66666666666,,,-0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419
2009-01-01 18:00:00,28,50328,18,1,1,3,0,52406.0,61089.0,64607.0,,,,29.0,,54607.66666666666,59659.66666666666,,,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419
2009-01-01 19:00:00,27,52425,19,1,1,3,0,50328.0,52406.0,61089.0,,,,28.0,,51719.66666666666,57606.333333333336,,,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419
2009-01-01 20:00:00,25,50457,20,1,1,3,0,52425.0,50328.0,52406.0,,,,27.0,,51070.0,55218.66666666666,,,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419
2009-01-01 21:00:00,25,41577,21,1,1,3,0,50457.0,52425.0,50328.0,,,,25.0,,48153.0,51380.333333333336,,,-0.7071067811865477,0.7071067811865474,0.43388373911755823,-0.900968867902419
2009-01-01 22:00:00,25,36002,22,1,1,3,0,41577.0,50457.0,52425.0,,,,25.0,,42678.66666666666,47199.16666666666,,,-0.5000000000000004,0.8660254037844384,0.43388373911755823,-0.900968867902419
2009-01-01 23:00:00,25,33522,23,1,1,3,0,36002.0,41577.0,50457.0,,,,25.0,,37033.66666666666,44051.833333333336,,,-0.25881904510252157,0.9659258262890681,0.43388373911755823,-0.900968867902419
2009-01-02 00:00:00,24,30625,0,2,1,4,0,33522.0,36002.0,41577.0,,,,25.0,,33383.0,40768.0,46319.958333333336,14605.8655325424,0.0,1.0,-0.433883739117558,-0.9009688679024191
2009-01-02 01:00:00,24,29060,1,2,1,4,0,30625.0,33522.0,36002.0,30360.0,,,24.0,24.0,31069.0,36873.833333333336,46265.79166666666,14669.89753966521,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191
2009-01-02 02:00:00,24,27586,2,2,1,4,0,29060.0,30625.0,33522.0,29155.0,,,24.0,24.0,29090.33333333333,33062.0,46200.41666666666,14752.727691534868,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191
2009-01-02 03:00:00,24,26846,3,2,1,4,0,27586.0,29060.0,30625.0,28086.0,,,24.0,24.0,27830.666666666668,30606.83333333333,46148.75,14820.939500379623,0.7071067811865476,0.7071067811865476,-0.433883739117558,-0.9009688679024191
2009-01-02 04:00:00,23,26561,4,2,1,4,0,26846.0,27586.0,29060.0,28031.0,,,24.0,24.0,26997.666666666668,29033.33333333333,46087.5,14901.885996774688,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191
2009-01-02 05:00:00,23,26626,5,2,1,4,0,26561.0,26846.0,27586.0,27730.0,,,23.0,24.0,26677.666666666668,27884.0,46041.5,14962.597042655048,0.9659258262890683,0.25881904510252074,-0.433883739117558,-0.9009688679024191
2009-01-02 06:00:00,23,29623,6,2,1,4,0,26626.0,26561.0,26846.0,30490.0,,,23.0,24.0,27603.33333333333,27717.0,46005.375,15002.769027930635,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191
2009-01-02 07:00:00,23,36612,7,2,1,4,0,29623.0,26626.0,26561.0,37081.0,,,23.0,24.0,30953.666666666668,28975.666666666668,45985.833333333336,15015.199060970845,0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191
